cluster	size	fraction	silhouette	mean_dist_to_center	Sequence length (median)	length (median)	Optimum pH (median)	Melting temperature (median)	Optimum temp. (median)	Relative aggregation propensity (median)	MW (median)	pI (median)	GRAVY (median)	aromaticity (median)	instability_index (median)	net_charge_pH7 (median)	acidic_count (median)	basic_count (median)	acidic_ratio (median)	basic_ratio (median)	ED_RK_ratio (median)	ED_IK_ratio (median)	boltz_apo_ptm (median)	boltz_apo_plddt (median)	Identity closest query (median)	Identity closest known (median)	Identity closest all (median)	Kingdom (top)	Salinity (top)	Temp. range (top)	Biotic relationship (top)	Disease (top)	Transmembrane (top)	tax_status (top)	superkingdom (top)	phylum (top)	class (top)	PSPG 1 (top)	PSPG 2 (top)
background	9974	1.0			400.0	400.0	7.501	49.4		0.774	43897.301	5.256	-0.101	0.072	40.882	-12.779	52.0	36.0	0.129	0.091	1.359	2.263	0.886	0.869	41.5	41.5	99.0	B (100%)	Mesophilic, Moderate halophilic, Non-halophilic (40%)	Mesophilic (94%)	Free living (82%)	insecticide (33%)	o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (57%)	Actinomycetes (57%)	P (100%)	Q (100%)
0	145	0.0145	0.548	0.1223	424.0	424.0	7.71	46.56		1.0	46361.007	7.638	0.003	0.079	39.639	1.262	37.0	36.0	0.086	0.086	0.971	0.745			25.5	25.5	96.7	B (100%)	Moderate halophilic (50%)	Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Cyanobacteriota (100%)	Cyanophyceae (100%)	P (100%)	Q (100%)
1	52	0.0052	0.6362	0.0645	377.5	377.5	7.661	52.77		0.895	40656.152	5.149	-0.005	0.061	39.696	-16.322	49.0	32.0	0.13	0.085	1.516	3.748			25.6	25.6	95.75	B (100%)		Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (98%)	Actinomycetes (94%)	P (100%)	Q (100%)
2	110	0.011	0.6225	0.09	429.0	429.0	7.756	49.6		0.612	46071.157	8.998	0.076	0.056	43.761	5.818	39.0	45.0	0.091	0.104	0.884	2.1			25.7	25.7	98.6	B (100%)	Mesophilic, Non-halophilic (92%)	Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Pseudomonadota (100%)	Gammaproteobacteria (86%)	P (100%)	Q (100%)
3	1290	0.1293	0.4427	0.0948	388.0	388.0	7.384	47.61		0.752	39934.528	5.776	0.163	0.031	37.177	-5.767	41.0	36.0	0.106	0.092	1.167	2.625			57.8	57.8	98.4	B (100%)	Mesophilic (83%)	Mesophilic (99%)	Free living, Parasite, Endosymbiont, Host, Intracellular (64%)	Tuberculosis, caseous pneumonia, tuberculosis, infiltrative tuberculosis, Extra Pulmonary Tuberculosis (63%)	o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (100%)	Actinomycetes (100%)	P (100%)	Q (100%)
4	157	0.0157	0.3312	0.1272	427.0	427.0	7.662	51.88		0.858	46652.134	9.127	0.021	0.069	40.779	6.142	41.0	43.0	0.097	0.1	0.875	1.217			26.3	26.3	78.6	B (100%)		Mesophilic (100%)			o (100%)	ok (100%)	Bacteria (100%)	Acidobacteriota (62%)	Terriglobia (63%)	P (100%)	Q (100%)
5	448	0.0449	0.5287	0.0771	407.0	407.0	7.414	59.775		0.521	43678.91	9.154	-0.038	0.064	55.659	3.896	37.0	41.0	0.091	0.101	0.923	3.455			30.8	30.8	98.8	B (100%)	Non-halophilic (100%)	Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (100%)	Actinomycetes (100%)	P (100%)	Q (100%)
6	3276	0.3285	0.4806	0.0874	400.0	400.0	7.484	52.115		0.48	43299.926	4.89	-0.136	0.07	42.345	-21.493	56.0	34.0	0.14	0.085	1.648	2.7			73.3	73.3	99.0	B (100%)	Mesophilic (43%)	Mesophilic (96%)	Free living (96%)		o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (100%)	Actinomycetes (100%)	P (100%)	Q (100%)
7	76	0.0076	0.6475	0.0599	393.0	393.0	7.56	47.34		0.865	43307.98	5.061	-0.128	0.092	40.174	-17.521	53.0	36.0	0.135	0.092	1.5	2.477			32.55	32.55	99.5	B (100%)		Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (100%)	Actinomycetes (100%)	P (100%)	Q (100%)
8	205	0.0206	0.5279	0.056	392.0	392.0	7.675	44.62		1.008	43976.863	4.883	-0.201	0.077	45.669	-19.833	59.0	39.0	0.151	0.099	1.5	1.173			30.9	30.9	99.7	B (100%)	Moderate halophilic, Non-halophilic (42%)	Mesophilic, Thermophilic (54%)	Free living (98%)	NO (44%)	o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
9	104	0.0104	0.6143	0.0461	395.0	395.0	7.661	48.46		1.275	44293.462	5.124	-0.242	0.102	34.129	-14.757	60.0	44.0	0.149	0.111	1.333	1.132			33.3	33.3	99.7	B (100%)	Moderate halophilic (100%)	Mesophilic, Thermophilic (80%)	Free living (100%)	Food poisoning (50%)	o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
10	77	0.0077	0.5524	0.0651	405.0	405.0	7.37	41.79		1.501	45859.381	4.757	-0.169	0.099	40.865	-23.605	52.0	28.0	0.128	0.069	1.828	0.98			47.6	47.6	99.5	B (100%)	Extreme halophilic (100%)	Mesophilic (100%)	Free living (100%)	Opportunistic infections (100%)	o (100%)	ok (99%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
11	120	0.012	0.7392	0.0322	403.0	403.0	7.116	42.04		0.968	45122.616	4.941	-0.342	0.099	34.835	-19.803	65.0	45.0	0.161	0.112	1.444	1.185			30.4	30.4	99.8	B (100%)	Non-halophilic (52%)	Mesophilic (100%)	Free living (96%)	Non-disease (97%)	o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
12	145	0.0145	0.5342	0.0708	405.0	405.0	7.575	45.94		1.501	45292.709	5.078	-0.035	0.096	38.681	-15.345	47.0	33.0	0.116	0.081	1.5	1.022			32.4	32.4	99.3	B (100%)	Mesophilic (100%)	Mesophilic (97%)	Free living (91%)		o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
13	104	0.0104	0.5097	0.0456	400.0	400.0	7.394	47.605		1.607	45840.867	5.437	-0.176	0.102	43.709	-9.782	52.0	41.0	0.13	0.103	1.244	0.712			33.3	33.3	99.5	B (100%)	Mesophilic, Moderate halophilic, Non-halophilic (55%)	Mesophilic (100%)	Free living (100%)	insecticide (78%)	o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
14	597	0.0599	0.5143	0.0413	402.0	402.0	7.823	45.37		1.32	45782.726	5.349	-0.271	0.1	40.861	-9.865	54.0	44.0	0.134	0.109	1.227	0.982			32.4	32.4	99.8	B (100%)	Mesophilic, Moderate halophilic, Non-halophilic (67%)	Mesophilic (100%)	Free living (94%)	insecticide (54%)	o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
