cluster	feature	test	category	direction	in_cluster	background	effect_size	n_in_cluster	p_value	q_value
6	Relative aggregation propensity	mann-whitney		lower	0.48	1.004	-0.78	3276	0.00e+00	0.00e+00
6	Melting temperature	mann-whitney		higher	52.115	46.61	0.704	3276	0.00e+00	0.00e+00
6	Identity closest known	mann-whitney		higher	73.3	33.5	0.933	3276	0.00e+00	0.00e+00
6	Identity closest query	mann-whitney		higher	73.3	33.5	0.933	3276	0.00e+00	0.00e+00
6	ED_IK_ratio	mann-whitney		higher	2.7	1.217	0.516	3276	0.00e+00	0.00e+00
6	ED_RK_ratio	mann-whitney		higher	1.648	1.216	0.893	3276	0.00e+00	0.00e+00
3	MW	mann-whitney		lower	39934.528	44000.062	-0.985	1290	0.00e+00	0.00e+00
6	basic_ratio	mann-whitney		lower	0.085	0.096	-0.645	3276	0.00e+00	0.00e+00
6	acidic_ratio	mann-whitney		higher	0.14	0.116	0.65	3276	0.00e+00	0.00e+00
6	phylum	fisher	Actinomycetota	enriched	0.999	0.431	1441.155	3272	0.00e+00	0.00e+00
3	acidic_ratio	mann-whitney		lower	0.106	0.136	-0.735	1290	0.00e+00	0.00e+00
6	pI	mann-whitney		lower	4.89	5.525	-0.82	3276	0.00e+00	0.00e+00
3	length	mann-whitney		lower	388.0	401.0	-0.86	1290	0.00e+00	0.00e+00
6	basic_count	mann-whitney		lower	34.0	38.0	-0.564	3276	0.00e+00	0.00e+00
6	acidic_count	mann-whitney		higher	56.0	46.0	0.665	3276	0.00e+00	0.00e+00
14	phylum	fisher	Bacillota	enriched	1.0	0.207	inf	597	0.00e+00	0.00e+00
6	class	fisher	Actinomycetes	enriched	0.999	0.433	1430.837	3272	0.00e+00	0.00e+00
3	aromaticity	mann-whitney		lower	0.031	0.073	-1.0	1290	0.00e+00	0.00e+00
3	Sequence length	mann-whitney		lower	388.0	401.0	-0.86	1290	0.00e+00	0.00e+00
14	class	fisher	Bacilli	enriched	1.0	0.208	inf	597	0.00e+00	0.00e+00
3	GRAVY	mann-whitney		higher	0.163	-0.138	0.978	1290	0.00e+00	0.00e+00
6	net_charge_pH7	mann-whitney		lower	-21.493	-8.206	-0.876	3276	0.00e+00	0.00e+00
3	net_charge_pH7	mann-whitney		higher	-5.767	-17.743	0.691	1290	0.00e+00	0.00e+00
3	acidic_count	mann-whitney		lower	41.0	54.0	-0.778	1290	0.00e+00	0.00e+00
10	acidic_ratio	mann-whitney		lower	0.128	0.134	-0.263	77	6.97e-05	1.00e-04
15	ED_IK_ratio	mann-whitney		lower	0.794	2.429	-0.867	79	3.47e-40	1.00e-39
13	Optimum pH	mann-whitney		lower	7.394	7.489	-0.152	104	7.76e-03	1.01e-02
17	Relative aggregation propensity	mann-whitney		higher	1.338	0.689	0.856	406	1.01e-185	1.01e-184
17	instability_index	mann-whitney		lower	37.025	41.537	-0.611	406	1.49e-95	1.01e-94
14	pI	mann-whitney		higher	5.349	5.106	0.285	597	4.28e-31	1.02e-30
1	GRAVY	mann-whitney		higher	-0.005	-0.116	0.526	52	6.08e-11	1.03e-10
3	class	fisher	Actinomycetes	enriched	1.0	0.613	inf	1281	7.87e-243	1.04e-241
17	MW	mann-whitney		higher	44639.866	43534.701	0.386	406	3.66e-39	1.05e-38
9	aromaticity	mann-whitney		higher	0.102	0.07	0.785	104	3.45e-43	1.05e-42
2	acidic_count	mann-whitney		lower	39.0	53.0	-0.772	110	3.39e-44	1.05e-43
17	Biotic relationship	fisher	Free living	enriched	1.0	0.77	inf	49	7.21e-06	1.07e-05
13	Identity closest all	mann-whitney		higher	99.5	99.2	0.282	104	6.91e-07	1.07e-06
13	ED_RK_ratio	mann-whitney		lower	1.244	1.429	-0.308	104	6.75e-08	1.08e-07
15	phylum	fisher	Bacillota	enriched	1.0	0.262	inf	79	3.42e-46	1.09e-45
17	Salinity	fisher	Moderate halophilic	enriched	0.325	0.182	2.167	38	8.07e-04	1.10e-03
4	class	fisher	Spartobacteria	enriched	0.05	0.0	inf	7	6.15e-13	1.10e-12
17	class	fisher	Bacilli	enriched	1.0	0.23	inf	406	8.15e-245	1.10e-243
1	Sequence length	mann-whitney		lower	377.5	400.0	-0.946	52	4.47e-32	1.10e-31
1	length	mann-whitney		lower	377.5	400.0	-0.946	52	4.47e-32	1.10e-31
16	Melting temperature	mann-whitney		lower	45.95	49.87	-0.59	214	3.23e-49	1.10e-48
12	instability_index	mann-whitney		lower	38.681	41.2	-0.24	145	7.18e-07	1.11e-06
0	Optimum pH	mann-whitney		higher	7.71	7.485	0.598	145	4.31e-35	1.11e-34
11	acidic_ratio	mann-whitney		higher	0.161	0.133	0.996	120	1.99e-78	1.11e-77
13	GRAVY	mann-whitney		lower	-0.176	-0.113	-0.307	104	6.99e-08	1.12e-07
8	Identity closest all	mann-whitney		higher	99.7	99.2	0.293	205	6.27e-13	1.12e-12
17	phylum	fisher	Bacillota	enriched	1.0	0.228	inf	406	8.08e-246	1.12e-244
11	pI	mann-whitney		lower	4.941	5.154	-0.347	120	6.65e-11	1.13e-10
16	acidic_ratio	mann-whitney		lower	0.115	0.134	-0.48	214	4.48e-33	1.13e-32
3	Identity closest known	mann-whitney		higher	57.8	54.5	0.079	1290	7.72e-06	1.14e-05
3	Identity closest query	mann-whitney		higher	57.8	54.5	0.079	1290	7.72e-06	1.14e-05
3	phylum	fisher	Actinomycetota	enriched	1.0	0.609	inf	1289	7.99e-247	1.14e-245
7	net_charge_pH7	mann-whitney		lower	-17.521	-15.378	-0.222	76	8.40e-04	1.15e-03
11	GRAVY	mann-whitney		lower	-0.342	-0.113	-0.996	120	2.08e-78	1.15e-77
0	Identity closest all	mann-whitney		lower	96.7	99.2	-0.315	145	6.89e-11	1.16e-10
7	MW	mann-whitney		lower	43307.98	43649.413	-0.173	76	9.22e-03	1.19e-02
9	MW	mann-whitney		higher	44293.462	43612.73	0.351	104	7.23e-10	1.20e-09
0	phylum	fisher	Cyanobacteriota	enriched	1.0	0.0	inf	145	5.91e-311	1.21e-309
16	aromaticity	mann-whitney		higher	0.102	0.07	0.91	214	1.70e-114	1.23e-113
1	ED_IK_ratio	mann-whitney		higher	3.748	2.417	0.829	52	5.63e-25	1.23e-24
1	acidic_count	mann-whitney		lower	49.0	53.0	-0.315	52	8.67e-05	1.24e-04
17	Disease	fisher	insecticide	enriched	0.647	0.245	5.659	44	7.50e-10	1.24e-09
5	basic_ratio	mann-whitney		higher	0.101	0.09	0.432	448	3.35e-53	1.24e-52
8	ED_IK_ratio	mann-whitney		lower	1.173	2.44	-0.481	205	5.18e-32	1.27e-31
5	class	fisher	Actinomycetes	enriched	0.996	0.658	115.224	444	2.39e-74	1.27e-73
13	Biotic relationship	fisher	Free living	enriched	1.0	0.788	inf	20	9.89e-03	1.28e-02
14	ED_IK_ratio	mann-whitney		lower	0.982	2.5	-0.705	597	1.32e-180	1.28e-179
11	basic_count	mann-whitney		higher	45.0	36.0	0.868	120	3.24e-60	1.28e-59
4	acidic_ratio	mann-whitney		lower	0.097	0.134	-0.762	157	3.22e-60	1.28e-59
4	class	fisher	Nitrospiria	enriched	0.144	0.0	inf	20	4.86e-36	1.29e-35
3	Identity closest all	mann-whitney		lower	98.4	99.2	-0.22	1290	4.90e-36	1.30e-35
2	Optimum pH	mann-whitney		higher	7.756	7.485	0.744	110	4.44e-41	1.30e-40
15	acidic_ratio	mann-whitney		higher	0.137	0.133	0.216	79	9.61e-04	1.31e-03
12	acidic_count	mann-whitney		lower	47.0	53.0	-0.16	145	9.67e-04	1.31e-03
3	Disease	fisher	Pulmonary	enriched	0.128	0.0	inf	12	8.19e-08	1.31e-07
12	GRAVY	mann-whitney		higher	-0.035	-0.118	0.404	145	6.74e-17	1.31e-16
15	pI	mann-whitney		higher	5.352	5.14	0.29	79	9.16e-06	1.34e-05
4	ED_IK_ratio	mann-whitney		lower	1.217	2.438	-0.49	157	6.12e-26	1.34e-25
5	instability_index	mann-whitney		higher	55.659	40.794	0.963	448	8.83e-257	1.34e-255
0	pI	mann-whitney		higher	7.638	5.137	0.792	145	3.43e-60	1.35e-59
11	aromaticity	mann-whitney		higher	0.099	0.07	0.74	120	4.43e-44	1.36e-43
1	Relative aggregation propensity	mann-whitney		higher	0.895	0.7	0.205	52	1.07e-02	1.38e-02
0	aromaticity	mann-whitney		higher	0.079	0.07	0.259	145	8.70e-08	1.39e-07
17	net_charge_pH7	mann-whitney		higher	-14.586	-15.652	0.075	406	1.11e-02	1.43e-02
8	Optimum pH	mann-whitney		higher	7.675	7.482	0.639	205	3.77e-55	1.43e-54
17	Optimum pH	mann-whitney		lower	7.37	7.495	-0.323	406	6.41e-28	1.44e-27
16	MW	mann-whitney		higher	44914.343	43584.232	0.447	214	6.31e-29	1.44e-28
17	Sequence length	mann-whitney		lower	397.0	400.0	-0.374	406	5.29e-37	1.45e-36
17	length	mann-whitney		lower	397.0	400.0	-0.374	406	5.29e-37	1.45e-36
9	instability_index	mann-whitney		lower	34.129	41.257	-0.849	104	4.11e-50	1.45e-49
