cluster	feature	test	category	direction	in_cluster	background	effect_size	n_in_cluster	p_value	q_value
0	Sequence length	mann-whitney		lower	388.0	401.0	-0.831	1298	0.00e+00	0.00e+00
1	class	fisher	Bacilli	enriched	0.99	0.134	669.911	1969	0.00e+00	0.00e+00
0	class	fisher	Actinomycetes	enriched	0.999	0.507	1251.621	1288	0.00e+00	0.00e+00
3	net_charge_pH7	mann-whitney		lower	-22.454	-9.661	-0.836	2196	0.00e+00	0.00e+00
1	Melting temperature	mann-whitney		lower	45.51	50.61	-0.75	1993	0.00e+00	0.00e+00
7	phylum	fisher	Pseudomonadota	enriched	0.819	0.004	1090.199	217	0.00e+00	0.00e+00
1	Relative aggregation propensity	mann-whitney		higher	1.33	0.686	0.894	1993	0.00e+00	0.00e+00
3	ED_RK_ratio	mann-whitney		higher	1.676	1.256	0.813	2196	0.00e+00	0.00e+00
0	MW	mann-whitney		lower	39934.987	44221.704	-0.972	1298	0.00e+00	0.00e+00
1	MW	mann-whitney		higher	45282.123	43472.186	0.646	1993	0.00e+00	0.00e+00
3	phylum	fisher	Actinomycetota	enriched	0.995	0.444	248.456	2184	0.00e+00	0.00e+00
1	phylum	fisher	Bacillota	enriched	0.997	0.152	2213.627	1986	0.00e+00	0.00e+00
0	phylum	fisher	Actinomycetota	enriched	1.0	0.501	inf	1297	0.00e+00	0.00e+00
3	Identity closest known	mann-whitney		higher	74.4	38.0	0.872	2196	0.00e+00	0.00e+00
3	pI	mann-whitney		lower	4.877	5.445	-0.747	2196	0.00e+00	0.00e+00
0	GRAVY	mann-whitney		higher	0.163	-0.123	0.944	1298	0.00e+00	0.00e+00
0	aromaticity	mann-whitney		lower	0.031	0.075	-1.0	1298	0.00e+00	0.00e+00
1	aromaticity	mann-whitney		higher	0.1	0.07	0.889	1993	0.00e+00	0.00e+00
3	acidic_ratio	mann-whitney		higher	0.141	0.119	0.712	2196	0.00e+00	0.00e+00
3	class	fisher	Actinomycetes	enriched	0.995	0.449	243.376	2184	0.00e+00	0.00e+00
3	Relative aggregation propensity	mann-whitney		lower	0.456	0.922	-0.701	2196	0.00e+00	0.00e+00
3	acidic_count	mann-whitney		higher	57.0	48.0	0.737	2196	0.00e+00	0.00e+00
0	length	mann-whitney		lower	388.0	401.0	-0.831	1298	0.00e+00	0.00e+00
3	basic_ratio	mann-whitney		lower	0.085	0.094	-0.538	2196	0.00e+00	0.00e+00
9	ED_IK_ratio	mann-whitney		higher	3.059	2.071	0.685	1241	0.00e+00	0.00e+00
1	ED_IK_ratio	mann-whitney		lower	0.825	2.5	-0.939	1993	0.00e+00	0.00e+00
0	acidic_count	mann-whitney		lower	41.0	53.0	-0.694	1298	0.00e+00	0.00e+00
3	Identity closest query	mann-whitney		higher	74.4	38.0	0.872	2196	0.00e+00	0.00e+00
2	Identity closest query	mann-whitney		lower	26.3	42.3	-0.884	168	2.91e-86	1.00e-85
